order_item_id,order_id,book_id,book_title,book_author,quantity,price_at_time,total_price
1,1,28,Sense and Sensibility,Jane Austen,2,11.6,23.2
2,1,72,Treasure Island,Robert Louis Stevenson,1,13.68,13.68
3,2,89,Project Hail Mary,Andy Weir,1,23.79,23.79
4,2,99,Such a Fun Age,Kiley Reid,3,19.65,58.95
5,2,19,The Hitchhiker's Guide to the Galaxy,Douglas Adams,3,16.75,50.25
6,2,81,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2,14.74,29.48
7,3,60,Good to Great,Jim Collins,2,17.39,34.78
8,3,10,The Odyssey,Homer,1,16.8,16.8
9,3,30,The Notebook,Nicholas Sparks,1,15.27,15.27
10,3,1,The Great Gatsby,F. Scott Fitzgerald,3,10.53,31.59
11,3,79,The Time Traveler's Wife,Audrey Niffenegger,1,19.01,19.01
12,3,65,The Complete Poems of Emily Dickinson,Emily Dickinson,3,17.47,52.41
13,4,22,The Hobbit,J.R.R. Tolkien,1,13.04,13.04
14,4,53,Divergent,Veronica Roth,1,16.84,16.84
15,4,90,The Thursday Murder Club,Richard Osman,3,15.9,47.7
16,4,76,The Kite Runner,Khaled Hosseini,1,14.79,14.79
17,4,85,The Seven Moons of Maali Almeida,Shehan Karunatilaka,1,20.26,20.26
18,5,69,Les Misérables,Victor Hugo,2,26.58,53.16
19,5,80,Where the Crawdads Sing,Delia Owens,1,15.46,15.46
20,5,98,The Vanishing Half,Brit Bennett,3,22.54,67.62
21,5,70,War and Peace,Leo Tolstoy,3,25.66,76.98
22,5,87,The Midnight Library,Matt Haig,1,15.45,15.45
23,6,95,The Song of Achilles,Madeline Miller,1,17.96,17.96
24,6,75,Into the Wild,Jon Krakauer,1,16.64,16.64
25,6,37,The Murder of Roger Ackroyd,Agatha Christie,1,14.99,14.99
26,7,88,The Power,Naomi Alderman,3,19.62,58.86
27,7,22,The Hobbit,J.R.R. Tolkien,3,17.84,53.52
28,7,98,The Vanishing Half,Brit Bennett,1,18.35,18.35
29,7,39,Educated,Tara Westover,2,21.4,42.8
30,7,36,The Silent Patient,Alex Michaelides,3,20.87,62.61
31,7,56,The Republic,Plato,1,16.2,16.2
32,8,85,The Seven Moons of Maali Almeida,Shehan Karunatilaka,3,18.44,55.32
33,8,31,Me Before You,Jojo Moyes,2,18.93,37.86
34,8,99,Such a Fun Age,Kiley Reid,3,15.81,47.43
35,8,95,The Song of Achilles,Madeline Miller,1,17.87,17.87
36,8,72,Treasure Island,Robert Louis Stevenson,1,9.94,9.94
37,9,49,Frankenstein,Mary Shelley,1,15.51,15.51
