book_id,title,author,isbn,publisher,publication_year,pages,language,description,price,delivery_date,genre,format,rating_avg,stock
1,The Great Gatsby,F. Scott Fitzgerald,978-0-7432-7356-5,Scribner,1925,180,English,"A classic American novel set in the Jazz Age, exploring themes of wealth, love, idealism, and moral decay.",12.99,3,Fiction,Paperback,0.0,25
2,To Kill a Mockingbird,Harper Lee,978-0-06-112008-4,J.B. Lippincott & Co.,1960,376,English,A gripping tale of racial injustice and childhood innocence in the American South.,18.5,2,Fiction,Hardcover,0.0,30
3,The Catcher in the Rye,J.D. Salinger,978-0-316-76948-0,"Little, Brown and Company",1951,277,English,A coming-of-age story following teenager Holden Caulfield in New York City.,16.99,3,Fiction,Hardcover,0.0,15
4,One Hundred Years of Solitude,Gabriel García Márquez,978-0-06-088328-7,Harper & Row,1967,417,English,A masterpiece of magical realism chronicling the Buendía family through seven generations.,15.99,3,Fiction,Paperback,0.0,22
5,Moby Dick,Herman Melville,978-0-14-243724-7,Penguin Classics,1851,635,English,The epic tale of Captain Ahab's obsessive quest for the white whale.,14.99,4,Fiction,Paperback,0.0,18
6,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,978-0-547-92822-7,Houghton Mifflin Harcourt,1954,481,English,The beginning of the epic fantasy journey through Middle-earth.,17.99,3,Fantasy,Paperback,0.0,35
7,Jane Eyre,Charlotte Brontë,978-0-14-144114-6,Penguin Classics,1847,507,English,A powerful story of an orphaned girl who becomes a governess and finds love and independence.,13.99,3,Fiction,Paperback,0.0,20
8,The Brothers Karamazov,Fyodor Dostoevsky,978-0-374-52797-9,"Farrar, Straus and Giroux",1880,796,English,"A philosophical novel about faith, doubt, and morality through the story of a Russian family.",24.99,5,Fiction,Hardcover,0.0,12
9,Wuthering Heights,Emily Brontë,978-0-14-143955-6,Penguin Classics,1847,366,English,A dark tale of passion and revenge set on the Yorkshire moors.,12.99,3,Fiction,Paperback,0.0,25
10,The Odyssey,Homer,978-0-14-044911-2,Penguin Classics,-800,541,English,The epic journey of Odysseus as he attempts to return home after the Trojan War.,15.99,4,Fiction,Paperback,0.0,28
